rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_international_outlook,scores_international_outlook_rank,scores_industry_income,scores_industry_income_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,location,aliases,subjects_offered,closed,unaccredited
138,138,University of Montreal,52.4,138,56.1,80,-,197,-,186,49.4,112,51.9,175,Canada,University of Montreal Université de Montréal Universite de Montreal,"General Engineering,Medicine & Dentistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Archaeology,History, Philosophy & Theology,Sociology,Accounting & Finance,Biological Sciences,Communication & Media Studies,Architecture,Mathematics & Statistics,Chemical Engineering,Chemistry,Law,Veterinary Science,Sport Science,Geography,Education,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Business & Management,Psychology,Computer Science,Other Health",FALSE,FALSE
139,139,Vrije Universiteit Amsterdam,52.3,139,47.6,130,30.6,152,81.4,26,51.6,99,58.5,153,Netherlands,Vrije Universiteit Amsterdam,"Architecture,Mathematics & Statistics,Economics & Econometrics,Sociology,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Geography,Law,Communication & Media Studies,Computer Science,Chemistry,Education,Accounting & Finance,Medicine & Dentistry,Sport Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management,Psychology,Agriculture & Forestry,Languages, Literature & Linguistics,Biological Sciences",FALSE,FALSE
140,140,University of Dundee,52.2,141,34.1,195,54.4,94,49.3,56,41,170,79.3,70,United Kingdom,University of Dundee,"History, Philosophy & Theology,Mechanical & Aerospace Engineering,Computer Science,Psychology,Education,Architecture,Biological Sciences,Medicine & Dentistry,Physics & Astronomy,Mathematics & Statistics,Other Health,Economics & Econometrics,Civil Engineering,Business & Management,Electrical & Electronic Engineering,Geography,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Communication & Media Studies",FALSE,FALSE
140,140,Pierre and Marie Curie University,52.2,140,51.9,99,30.7,151,26.4,138,37.2,180,71.5,100,France,Pierre and Marie Curie University,"Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Chemistry,Electrical & Electronic Engineering,Other Health,Biological Sciences,Chemical Engineering,Mathematics & Statistics,General Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering,Physics & Astronomy,Computer Science,Veterinary Science",FALSE,FALSE
142,142,University of Barcelona,52.1,142,34.1,194,22.3,175,30,125,33.7,195,91.9,32,Spain,University of Barcelona,"Art, Performing Arts & Design,Medicine & Dentistry,Law,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Sociology,Business & Management,Biological Sciences,Communication & Media Studies,Archaeology,Other Health,Psychology,History, Philosophy & Theology,Accounting & Finance,Sport Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Education,Chemistry,Economics & Econometrics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemical Engineering,Geography",FALSE,FALSE
143,143,Utrecht University,52,143,43.4,155,52.6,97,55.3,46,53,89,58.8,152,Netherlands,Utrecht University utrecht  utrecht university,"Chemistry,Geography,Law,Computer Science,Geology, Environmental, Earth & Marine Sciences,Education,Languages, Literature & Linguistics,Mathematics & Statistics,History, Philosophy & Theology,Economics & Econometrics,Psychology,Politics & International Studies (incl Development Studies),Biological Sciences,Accounting & Finance,Business & Management,Sociology,Communication & Media Studies,Medicine & Dentistry,Other Health,Physics & Astronomy,Veterinary Science,Art, Performing Arts & Design",FALSE,FALSE
144,144,Wageningen University & Research,51.9,144,58.5,66,24.3,168,-,195,48.8,119,53,168,Netherlands,Wageningen University & Research,"Chemical Engineering,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Sociology,Communication & Media Studies,Biological Sciences,Politics & International Studies (incl Development Studies),Veterinary Science,Agriculture & Forestry,Chemistry",FALSE,FALSE
145,145,University of Auckland,51.8,145,34.8,192,94.3,8,61.1,36,39.2,176,71.8,99,New Zealand,University of Auckland UOA Auckland University,"Accounting & Finance,Biological Sciences,Civil Engineering,Sociology,Other Health,Mathematics & Statistics,Psychology,Computer Science,Chemistry,Sport Science,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Mechanical & Aerospace Engineering,Economics & Econometrics,Communication & Media Studies,Geography,Electrical & Electronic Engineering,Archaeology,Languages, Literature & Linguistics,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Art, Performing Arts & Design,Physics & Astronomy,Medicine & Dentistry,Architecture,Law",FALSE,FALSE
145,145,University of Birmingham,51.8,146,50.3,109,73.8,46,34.8,103,50.7,102,52.1,173,United Kingdom,University of Birmingham,"Chemistry,Other Health,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Sociology,Education,Accounting & Finance,Art, Performing Arts & Design,Sport Science,Archaeology,General Engineering,Medicine & Dentistry,Law,Economics & Econometrics,Physics & Astronomy,Electrical & Electronic Engineering,Computer Science,History, Philosophy & Theology,Geography,Psychology,Business & Management,Civil Engineering,Mechanical & Aerospace Engineering,Biological Sciences,Chemical Engineering,Mathematics & Statistics",FALSE,FALSE
147,147,Alexandria University,51.6,147,29.5,200,19.3,184,36,100,28,200,99.8,4,Egypt,Alexandria University,"Electrical & Electronic Engineering,Biological Sciences,Architecture,Mathematics & Statistics,Veterinary Science,Business & Management,Education,Sport Science,Sociology,Art, Performing Arts & Design,General Engineering,Communication & Media Studies,Accounting & Finance,Computer Science,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Other Health,Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Civil Engineering,Chemistry,Economics & Econometrics,Law,Psychology,Archaeology,Medicine & Dentistry,Agriculture & Forestry,Physics & Astronomy,Languages, Literature & Linguistics,Chemical Engineering",FALSE,FALSE
147,147,Uppsala University,51.6,148,49.6,115,77.9,40,39.5,84,62.2,54,40.7,195,Sweden,Uppsala University,"Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Politics & International Studies (incl Development Studies),Archaeology,Law,Accounting & Finance,Psychology,Economics & Econometrics,Electrical & Electronic Engineering,General Engineering,Physics & Astronomy,Geography,Chemical Engineering,Civil Engineering,Communication & Media Studies,Medicine & Dentistry,Chemistry,Languages, Literature & Linguistics,Other Health,Sociology,Mathematics & Statistics,History, Philosophy & Theology,Business & Management,Biological Sciences",FALSE,FALSE
149,149,University of Aberdeen,51.4,150,37.8,187,86.1,27,47,59,45.2,145,64.6,128,United Kingdom,University of Aberdeen,"Computer Science,General Engineering,Geography,Archaeology,Mechanical & Aerospace Engineering,Civil Engineering,Business & Management,Biological Sciences,Economics & Econometrics,Education,History, Philosophy & Theology,Psychology,Chemistry,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Medicine & Dentistry,Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Other Health,Sport Science,Sociology,Law,Electrical & Electronic Engineering,Physics & Astronomy",FALSE,FALSE
149,149,Hong Kong Polytechnic University,51.4,149,39.4,178,82.9,35,57.2,41,45.7,141,62.4,136,Hong Kong,Hong Kong Polytechnic University PolyU Poly U HK PolyU,"Psychology,Accounting & Finance,Civil Engineering,Sociology,Electrical & Electronic Engineering,Other Health,General Engineering,Economics & Econometrics,Chemistry,Mathematics & Statistics,Art, Performing Arts & Design,Computer Science,Chemical Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Biological Sciences,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy",FALSE,FALSE
151,151,Delft University of Technology,51.3,151,55.5,82,47.4,109,99.4,10,67.7,42,29,200,Netherlands,Delft University of Technology,"Computer Science,Agriculture & Forestry,History, Philosophy & Theology,Sport Science,Other Health,Geography,Chemical Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Education,General Engineering,Communication & Media Studies,Business & Management,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Biological Sciences,Mechanical & Aerospace Engineering,Architecture,Physics & Astronomy,Electrical & Electronic Engineering,Chemistry,Art, Performing Arts & Design",FALSE,FALSE
152,152,"Birkbeck, University of London",51.2,152,41.2,168,88.5,21,27.4,133,35.8,188,70.6,102,United Kingdom,"Birkbeck, University of London","Mathematics & Statistics,Art, Performing Arts & Design,Computer Science,Law,Economics & Econometrics,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Sociology,Archaeology,Education,Languages, Literature & Linguistics,Communication & Media Studies,Psychology,Geography,Business & Management,Physics & Astronomy,History, Philosophy & Theology,Biological Sciences,Politics & International Studies (incl Development Studies)",FALSE,FALSE
152,152,Newcastle University,51.2,153,42.7,160,80.5,37,31.1,119,42.8,159,63.6,132,United Kingdom,Newcastle University,"Archaeology,Computer Science,Economics & Econometrics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Civil Engineering,Sociology,Accounting & Finance,General Engineering,Physics & Astronomy,Business & Management,Law,Geology, Environmental, Earth & Marine Sciences,Education,Chemistry,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Medicine & Dentistry,Sport Science,Psychology,Architecture,Chemical Engineering,Veterinary Science,Other Health,Agriculture & Forestry,Geography,Biological Sciences,Communication & Media Studies",FALSE,FALSE
152,152,UNSW Sydney,51.2,154,49.5,116,70.7,52,60,39,48.9,118,51.2,178,Australia,UNSW Sydney unsw australia unsw,"Sport Science,Chemistry,Electrical & Electronic Engineering,Psychology,Other Health,Biological Sciences,Politics & International Studies (incl Development Studies),Architecture,Civil Engineering,Communication & Media Studies,Art, Performing Arts & Design,Chemical Engineering,Geography,History, Philosophy & Theology,Computer Science,Business & Management,Law,Languages, Literature & Linguistics,General Engineering,Mechanical & Aerospace Engineering,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Economics & Econometrics,Education,Sociology",FALSE,FALSE
155,155,Pompeu Fabra University,51.1,155,35,191,44.1,120,40,83,33,198,84.7,50,Spain,Pompeu Fabra University,"Art, Performing Arts & Design,Education,Communication & Media Studies,Languages, Literature & Linguistics,Mathematics & Statistics,Business & Management,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Accounting & Finance,History, Philosophy & Theology,Other Health,Computer Science,Sociology,Biological Sciences,Law,Economics & Econometrics",FALSE,FALSE
156,156,Indiana University,51,156,48.5,124,37.7,132,-,157,42.5,160,63.2,133,United States,Indiana University,"Civil Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,General Engineering,Chemistry,Medicine & Dentistry,Law,Accounting & Finance,Art, Performing Arts & Design,Communication & Media Studies,Sociology,Other Health,Economics & Econometrics,Archaeology,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geography,Chemical Engineering,Sport Science,Business & Management,Veterinary Science,Physics & Astronomy,Agriculture & Forestry,Education,Architecture,Psychology,Computer Science,Biological Sciences",FALSE,FALSE
156,156,Iowa State University,51,157,49.3,118,23.2,171,49.6,55,49.6,110,58.2,157,United States,Iowa State University,"Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Accounting & Finance,Veterinary Science,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Architecture,Other Health,General Engineering,Psychology,Medicine & Dentistry,Sport Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Languages, Literature & Linguistics,Civil Engineering,Biological Sciences,Law,Business & Management,Sociology,Education,Art, Performing Arts & Design,Computer Science,Economics & Econometrics,Communication & Media Studies,Chemistry,Electrical & Electronic Engineering,Agriculture & Forestry",FALSE,FALSE
158,158,Georgia Health Sciences University,50.7,158,67.3,34,16.3,190,50.1,53,41.7,167,48.9,180,United States,Georgia Health Sciences University,,FALSE,FALSE
159,159,Erasmus University Rotterdam,50.4,159,39.4,177,58.6,83,-,153,43.6,154,65.5,122,Netherlands,Erasmus University Rotterdam,"Psychology,Accounting & Finance,Sociology,Art, Performing Arts & Design,Other Health,Law,Communication & Media Studies,History, Philosophy & Theology,Education,Medicine & Dentistry,Business & Management,Politics & International Studies (incl Development Studies),Biological Sciences,Economics & Econometrics",FALSE,FALSE
159,159,University of Delaware,50.4,160,38.4,182,16.8,188,100,7,51.9,95,61.3,140,United States,University of Delaware,"Art, Performing Arts & Design,Electrical & Electronic Engineering,Psychology,Other Health,Veterinary Science,Politics & International Studies (incl Development Studies),Business & Management,Biological Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Agriculture & Forestry,Architecture,Computer Science,Sport Science,Sociology,Economics & Econometrics,Physics & Astronomy,Mechanical & Aerospace Engineering,Chemical Engineering,Geography,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,History, Philosophy & Theology,Education,Chemistry,Communication & Media Studies",FALSE,FALSE
161,161,Boston College,50.3,162,40.1,171,31.6,146,-,145,33.6,196,78,79,United States,Boston College,"Computer Science,Medicine & Dentistry,Physics & Astronomy,Psychology,History, Philosophy & Theology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Education,Sociology,Economics & Econometrics,Biological Sciences,Art, Performing Arts & Design,Law,Chemistry,Politics & International Studies (incl Development Studies),General Engineering,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Business & Management",FALSE,FALSE
161,161,Arizona State University (Tempe),50.3,161,43,158,24.1,170,-,142,44.1,150,66.9,117,United States,Arizona State University (Tempe),"Law,Mathematics & Statistics,Art, Performing Arts & Design,Other Health,Biological Sciences,Communication & Media Studies,Architecture,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Accounting & Finance,Economics & Econometrics,Chemistry,Politics & International Studies (incl Development Studies),Sport Science,Physics & Astronomy,Business & Management,Civil Engineering,Psychology,History, Philosophy & Theology,Education,Mechanical & Aerospace Engineering,Sociology,Archaeology,Electrical & Electronic Engineering,General Engineering,Computer Science,Languages, Literature & Linguistics",FALSE,FALSE
163,163,National Sun Yat-Sen University,50.2,163,46.1,142,21.3,179,37.5,97,50.6,103,58.9,151,Taiwan,National Sun Yat-Sen University,"Chemistry,Politics & International Studies (incl Development Studies),Computer Science,Business & Management,Physics & Astronomy,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Languages, Literature & Linguistics,Accounting & Finance,Education,Psychology,Mechanical & Aerospace Engineering,Economics & Econometrics,Agriculture & Forestry,Mathematics & Statistics,General Engineering,Sociology,Art, Performing Arts & Design,Communication & Media Studies,History, Philosophy & Theology,Chemical Engineering,Biological Sciences,Other Health,Architecture,Law,Geography",FALSE,FALSE
164,164,Georgetown University,50.1,164,65.1,41,24.7,165,-,156,44.7,147,45,188,United States,Georgetown University,"Law,Languages, Literature & Linguistics,Accounting & Finance,Chemistry,History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Architecture,Communication & Media Studies,Biological Sciences,Medicine & Dentistry,Sport Science,Other Health,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Education,Physics & Astronomy,Business & Management,Mathematics & Statistics,General Engineering,Sociology,Computer Science,Psychology",FALSE,FALSE
165,165,University of Liverpool,50,166,40.8,169,59.8,81,40.6,76,47.8,129,59.6,147,United Kingdom,University of Liverpool,"Archaeology,Architecture,Communication & Media Studies,Languages, Literature & Linguistics,Accounting & Finance,Business & Management,Computer Science,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Biological Sciences,Medicine & Dentistry,Psychology,Veterinary Science,Law,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy,Geography,Politics & International Studies (incl Development Studies),Sociology",FALSE,FALSE
165,165,University of Amsterdam,50,165,42.5,162,38.2,130,38.8,89,49.2,116,60.2,145,Netherlands,University of Amsterdam uva,"Economics & Econometrics,Communication & Media Studies,History, Philosophy & Theology,Biological Sciences,Medicine & Dentistry,Computer Science,Physics & Astronomy,Art, Performing Arts & Design,Mathematics & Statistics,Sociology,Business & Management,Education,Archaeology,Geology, Environmental, Earth & Marine Sciences,Other Health,Psychology,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),Geography",FALSE,FALSE
167,167,Aarhus University,49.9,167,38.1,185,33.4,140,61.5,35,55.6,76,57.3,160,Denmark,Aarhus University,"Education,Psychology,History, Philosophy & Theology,Biological Sciences,Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Communication & Media Studies,Archaeology,Medicine & Dentistry,General Engineering,Physics & Astronomy,Accounting & Finance,Civil Engineering,Veterinary Science,Politics & International Studies (incl Development Studies),Computer Science,Geography,Chemistry,Other Health,Agriculture & Forestry,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Sport Science,Sociology,Languages, Literature & Linguistics",FALSE,FALSE
168,168,University of Leeds,49.8,168,46.2,141,50,103,38.3,92,48,128,55.6,164,United Kingdom,University of Leeds,"Agriculture & Forestry,Geography,Languages, Literature & Linguistics,Sociology,Architecture,Psychology,Mechanical & Aerospace Engineering,Education,Communication & Media Studies,General Engineering,History, Philosophy & Theology,Mathematics & Statistics,Chemistry,Chemical Engineering,Economics & Econometrics,Physics & Astronomy,Art, Performing Arts & Design,Other Health,Accounting & Finance,Computer Science,Biological Sciences,Sport Science,Business & Management,Civil Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Law,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
168,168,University of Würzburg,49.8,169,48.7,122,40.3,125,-,194,40.9,171,60.4,143,Germany,University of Würzburg,"Languages, Literature & Linguistics,Psychology,Education,Chemistry,Physics & Astronomy,Agriculture & Forestry,Business & Management,Law,Geography,History, Philosophy & Theology,Communication & Media Studies,Mechanical & Aerospace Engineering,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Economics & Econometrics,Sport Science,Sociology,Computer Science,Architecture,Other Health,Mathematics & Statistics,Biological Sciences,Politics & International Studies (incl Development Studies),Veterinary Science,Chemical Engineering,Archaeology",FALSE,FALSE
170,170,University of Groningen,49.7,170,41.7,166,35.5,136,34.2,106,56.4,69,54.1,167,Netherlands,University of Groningen,"General Engineering,Accounting & Finance,Chemical Engineering,Psychology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Sociology,Biological Sciences,Geography,Archaeology,Law,Business & Management,Computer Science,Medicine & Dentistry,Mathematics & Statistics,Education,History, Philosophy & Theology,Languages, Literature & Linguistics,Other Health,Physics & Astronomy,Communication & Media Studies,Chemistry,Politics & International Studies (incl Development Studies)",FALSE,FALSE
171,171,Sun Yat-sen University,49.6,171,46.2,139,29.3,157,41.2,74,34.7,192,70.2,106,China,Sun Yat-sen University,"History, Philosophy & Theology,Psychology,Veterinary Science,Mathematics & Statistics,Computer Science,Mechanical & Aerospace Engineering,Chemistry,Languages, Literature & Linguistics,Civil Engineering,Communication & Media Studies,Medicine & Dentistry,Electrical & Electronic Engineering,Archaeology,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Business & Management,Biological Sciences,Politics & International Studies (incl Development Studies),Chemical Engineering,Art, Performing Arts & Design,Other Health,Sport Science,Sociology,Accounting & Finance,Economics & Econometrics,Geography,Agriculture & Forestry,General Engineering,Education,Law",FALSE,FALSE
172,172,Goethe University Frankfurt,49.4,172,39.2,180,56.1,90,41.6,72,37.3,179,69.5,108,Germany,Goethe University Frankfurt,"Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mathematics & Statistics,Languages, Literature & Linguistics,Medicine & Dentistry,Psychology,Other Health,Biological Sciences,Computer Science,Geography,Sociology,Accounting & Finance,Chemistry,Economics & Econometrics,Physics & Astronomy,Sport Science,Archaeology,Education,Law,Business & Management,Politics & International Studies (incl Development Studies),History, Philosophy & Theology",FALSE,FALSE
173,173,Bielefeld University,49.3,173,39.9,172,-,192,-,144,35.7,189,70.4,103,Germany,Bielefeld University,"Physics & Astronomy,Psychology,Other Health,Communication & Media Studies,Law,Mathematics & Statistics,Languages, Literature & Linguistics,Biological Sciences,Politics & International Studies (incl Development Studies),Sociology,Medicine & Dentistry,Computer Science,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,History, Philosophy & Theology,Chemistry,Economics & Econometrics,Business & Management,Chemical Engineering,Sport Science,Accounting & Finance,Education",FALSE,FALSE
174,174,"Nanyang Technological University, Singapore",49,174,43.6,152,96.3,6,40,82,51.7,98,45,189,Singapore,"Nanyang Technological University, Singapore NTU Nan yang","Civil Engineering,Economics & Econometrics,Psychology,Education,Sport Science,Sociology,Politics & International Studies (incl Development Studies),Accounting & Finance,Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Communication & Media Studies,Other Health,Computer Science,General Engineering,Physics & Astronomy,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,History, Philosophy & Theology",FALSE,FALSE
174,174,University of Nottingham,49,176,46.8,133,74.8,43,38.4,91,44.1,153,52.5,171,United Kingdom,University of Nottingham,"Languages, Literature & Linguistics,Agriculture & Forestry,Law,History, Philosophy & Theology,Medicine & Dentistry,Architecture,Education,Sport Science,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Chemical Engineering,Biological Sciences,Art, Performing Arts & Design,Other Health,Chemistry,Archaeology,Computer Science,Veterinary Science,Civil Engineering,Psychology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,Communication & Media Studies,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Geography",FALSE,FALSE
174,174,University of East Anglia,49,175,42.1,165,62.8,71,29.7,126,40.4,173,62.8,135,United Kingdom,University of East Anglia,"Geology, Environmental, Earth & Marine Sciences,Geography,Other Health,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Physics & Astronomy,General Engineering,Education,History, Philosophy & Theology,Civil Engineering,Medicine & Dentistry,Psychology,Computer Science,Sport Science,Business & Management,Chemistry,Accounting & Finance,Sociology,Law,Biological Sciences,Economics & Econometrics,Languages, Literature & Linguistics,Art, Performing Arts & Design,Communication & Media Studies,Archaeology,Mathematics & Statistics",FALSE,FALSE
177,177,University of Copenhagen,48.8,177,44.1,151,45.8,114,26.1,141,45.7,142,58.3,155,Denmark,University of Copenhagen,"Languages, Literature & Linguistics,Sociology,Chemistry,History, Philosophy & Theology,Law,Agriculture & Forestry,Economics & Econometrics,Veterinary Science,Geography,Sport Science,Politics & International Studies (incl Development Studies),Other Health,Physics & Astronomy,Archaeology,Biological Sciences,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Psychology",FALSE,FALSE
178,178,Monash University,48.5,179,39.4,179,87.1,25,40.8,75,38.8,177,60.5,142,Australia,Monash University,"Economics & Econometrics,Sport Science,Art, Performing Arts & Design,Geography,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Communication & Media Studies,Architecture,Medicine & Dentistry,Law,Politics & International Studies (incl Development Studies),Other Health,Biological Sciences,Sociology,Accounting & Finance,Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,Chemical Engineering,Psychology,Archaeology,Computer Science,Chemistry,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
178,178,University of Bonn,48.5,180,46.8,132,46.8,111,29.4,128,33.8,194,65.3,123,Germany,University of Bonn,"Languages, Literature & Linguistics,Other Health,Physics & Astronomy,Biological Sciences,Politics & International Studies (incl Development Studies),Chemistry,History, Philosophy & Theology,Computer Science,Psychology,Economics & Econometrics,Mathematics & Statistics,Law,Communication & Media Studies,Business & Management,Geology, Environmental, Earth & Marine Sciences,Education,Archaeology,Agriculture & Forestry,Geography,Medicine & Dentistry,Sociology",FALSE,FALSE
178,178,Humboldt University of Berlin,48.5,178,50.9,102,46.1,113,27.8,132,44.5,148,52,174,Germany,Humboldt University of Berlin,"Geography,History, Philosophy & Theology,Biological Sciences,Politics & International Studies (incl Development Studies),Computer Science,Economics & Econometrics,Physics & Astronomy,Art, Performing Arts & Design,Education,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Agriculture & Forestry,Medicine & Dentistry,Psychology,Sociology,Languages, Literature & Linguistics,Chemistry,Law,Business & Management,Accounting & Finance,Communication & Media Studies,Sport Science,Archaeology",FALSE,FALSE
181,181,National Chiao Tung University,48.3,181,53.2,91,57.9,85,98.7,11,54.4,83,32.9,198,Taiwan,National Chiao Tung University,"Accounting & Finance,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering,Chemistry,Civil Engineering,Business & Management,Biological Sciences,Electrical & Electronic Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Law,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Architecture,Education,Physics & Astronomy",FALSE,FALSE
182,182,RWTH Aachen University,48.2,182,50,111,63.8,66,56.6,44,42.5,161,48.9,181,Germany,RWTH Aachen University,"Civil Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Mathematics & Statistics,Architecture,Medicine & Dentistry,Chemistry,Other Health,History, Philosophy & Theology,Biological Sciences,Computer Science,Mechanical & Aerospace Engineering,Education,Geology, Environmental, Earth & Marine Sciences,Sociology,Physics & Astronomy,Business & Management,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Chemical Engineering,Geography,General Engineering,Psychology,Politics & International Studies (incl Development Studies)",FALSE,FALSE
183,183,Middle East Technical University,47.7,183,39.5,176,27.2,161,43.9,64,39.5,175,66.4,119,Turkey,Middle East Technical University,"Languages, Literature & Linguistics,Sport Science,Archaeology,Civil Engineering,Communication & Media Studies,Art, Performing Arts & Design,Chemical Engineering,Physics & Astronomy,Computer Science,Mechanical & Aerospace Engineering,Geography,Accounting & Finance,Biological Sciences,Psychology,History, Philosophy & Theology,Electrical & Electronic Engineering,Sociology,Business & Management,Geology, Environmental, Earth & Marine Sciences,Other Health,General Engineering,Politics & International Studies (incl Development Studies),Architecture,Chemistry,Education,Economics & Econometrics,Mathematics & Statistics",FALSE,FALSE
184,184,University of Exeter,47.6,184,40.4,170,62.8,72,32.2,115,42.5,162,57.9,159,United Kingdom,University of Exeter,"Geography,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Architecture,Law,Biological Sciences,Psychology,Accounting & Finance,Languages, Literature & Linguistics,Communication & Media Studies,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Mathematics & Statistics,Other Health,Business & Management,Archaeology,Agriculture & Forestry,Economics & Econometrics,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Veterinary Science,Civil Engineering,Physics & Astronomy,General Engineering",FALSE,FALSE
